Filename,chapterTimes_module,chapterTimes_totalLength,chapter_begin,chapter_title
chaptertimes_FOSS_TPV_PA_3-4.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:06:15,0:00:00,"Pebbles, Sand, and Silt - Inv. 3, Part 3"
chaptertimes_FOSS_TPV_PA_4-1.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:24,0:00:00,"Pebbles, Sand, and Silt - Inv. 3, Part 4"
chaptertimes_FOSS_TPV_PA_4-2.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:35,0:00:00,"Pebbles, Sand, and Silt - Inv. 3, Part 5"
chaptertimes_FOSS_TPV_PA_4-3.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:35,0:00:00,"Pebbles, Sand, and Silt - Inv. 4, Part 1"
chaptertimes_FOSS_TPV_PSS_2-1.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:08:23,0:00:00,"Pebbles, Sand, and Silt - Inv. 4, Part 2"
chaptertimes_FOSS_TPV_PSS_2-2.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:07:06,0:00:00,"Pebbles, Sand, and Silt - Inv. 4, Part 3"
chaptertimes_FOSS_TPV_PSS_2-3.xml,Plants and Animals (3rd Ed.),0:08:54,0:00:00,"Plants and Animals - Inv. 2, Part 1"
chaptertimes_FOSS_TPV_PSS_2-4.xml,Plants and Animals (3rd Ed.),0:10:06,0:00:00,"Plants and Animals - Inv. 2, Part 2"
chaptertimes_FOSS_TPV_PSS_3-1.xml,Plants and Animals (3rd Ed.),0:05:40,0:00:00,"Plants and Animals - Inv. 2, Part 3"
chaptertimes_FOSS_TPV_PSS_3-2.xml,Plants and Animals (3rd Ed.),0:06:25,0:00:00,"Plants and Animals - Inv. 3, Part 1"
chaptertimes_FOSS_TPV_PSS_3-3.xml,Plants and Animals (3rd Ed.),0:05:35,0:00:00,"Plants and Animals - Inv. 3, Part 2"
chaptertimes_FOSS_TPV_PSS_3-4.xml,Plants and Animals (3rd Ed.),0:05:11,0:00:00,"Plants and Animals - Inv. 3, Part 3"
chaptertimes_FOSS_TPV_PSS_3-5.xml,Plants and Animals (3rd Ed.),0:08:14,0:00:00,"Plants and Animals - Inv. 3, Part 4"
chaptertimes_FOSS_TPV_PSS_4-1.xml,Plants and Animals (3rd Ed.),0:09:35,0:00:00,"Plants and Animals - Inv. 4, Part 1"
chaptertimes_FOSS_TPV_PSS_4-2.xml,Plants and Animals (3rd Ed.),0:09:09,0:00:00,"Plants and Animals - Inv. 4, Part 2"
chaptertimes_FOSS_TPV_PSS_4-3.xml,Plants and Animals (3rd Ed.),0:06:17,0:00:00,"Plants and Animals - Inv. 4, Part 3"
chaptertimes_FOSS_TPV_SL_2-1.xml,Solids and Liquids (3rd Ed.),0:08:13,0:00:00,"Solids and Liquids - Inv. 2, Part 1"
chaptertimes_FOSS_TPV_SL_2-2.xml,Solids and Liquids (3rd Ed.),0:07:44,0:00:00,"Solids and Liquids - Inv. 2, Part 2"
chaptertimes_FOSS_TPV_SL_2-3.xml,Solids and Liquids (3rd Ed.),0:09:07,0:00:00,"Solids and Liquids - Inv. 2, Part 3"
chaptertimes_FOSS_TPV_SL_2-4.xml,Solids and Liquids (3rd Ed.),0:06:41,0:00:00,"Solids and Liquids - Inv. 2, Part 4"
chaptertimes_FOSS_TPV_SL_3-1.xml,Solids and Liquids (3rd Ed.),0:07:44,0:00:00,"Solids and Liquids - Inv. 3, Part 1"
chaptertimes_FOSS_TPV_SL_3-2.xml,Solids and Liquids (3rd Ed.),0:06:25,0:00:00,"Solids and Liquids - Inv. 3, Part 2"
chaptertimes_FOSS_TPV_SL_3-3.xml,Solids and Liquids (3rd Ed.),0:05:42,0:00:00,"Solids and Liquids - Inv. 3, Part 3"
chaptertimes_FOSS_TPV_SL_3-4.xml,Solids and Liquids (3rd Ed.),0:05:25,0:00:00,"Solids and Liquids - Inv. 3, Part 4"
chaptertimes_FOSS_TPV_SL_3-5.xml,Solids and Liquids (3rd Ed.),0:06:50,0:00:00,"Solids and Liquids - Inv. 3, Part 5"
chaptertimes_FOSS_TPV_SL_4-1.xml,Solids and Liquids (3rd Ed.),0:09:56,0:00:00,"Solids and Liquids - Inv. 4, Part 1"
chaptertimes_FOSS_TPV_SL_4-2.xml,Solids and Liquids (3rd Ed.),0:07:32,0:00:00,"Solids and Liquids - Inv. 4, Part 2"
chaptertimes_FOSS_TPV_SL_4-3.xml,Solids and Liquids (3rd Ed.),0:06:25,0:00:00,"Solids and Liquids - Inv. 4, Part 3"
chaptertimes_FOSS_TPV_SL_4-4.xml,Solids and Liquids (3rd Ed.),0:07:54,0:00:00,"Solids and Liquids - Inv. 4, Part 4"
chaptertimes_FOSS_TPV_SL_4-5.xml,Solids and Liquids (3rd Ed.),0:05:25,0:00:00,"Solids and Liquids - Inv. 4, Part 5"
